"Supplementary Data 6. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A1	C00012957	SRR2100548	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012958	SRR2100549	tuberculosis	 	 	 	 	 	 	 	 	 	 
MTBC_A1	C00012959	SRR2100550	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012963	SRR2100554	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012972	SRR2100563	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012977	SRR2100567	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012988	SRR2100576	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00012989	SRR2100577	africanum	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00013010	SRR2100598	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013011	SRR2100599	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013018	SRR2100606	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013019	SRR2100607	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013020	SRR2100608	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013023	SRR2100611	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00013026	SRR2100614	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013029	SRR2100617	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013031	SRR2100619	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013038	SRR2100626	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013039	SRR2100627	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013048	SRR2100635	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013065	SRR2100651	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013074	SRR2100659	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013080	SRR2100664	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00013081	SRR2100665	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013091	SRR2100674	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013094	SRR2100677	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013096	SRR2100679	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013097	SRR2100680	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013098	SRR2100681	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013101	SRR2100684	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013102	SRR2100685	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013111	SRR2100694	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013114	SRR2100697	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013118	SRR2100701	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013119	SRR2100702	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013121	SRR2100704	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013131	SRR2100713	africanum	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013133	SRR2100715	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013135	SRR2100717	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013145	SRR2100727	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00013146	SRR2100728	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00013152	SRR2100734	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014539	SRR2100740	tuberculosis	R	R	R	S	S	S	R	B	R	R
MTBC_A1	C00014550	SRR2100751	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014559	SRR2100759	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014562	SRR2100761	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014565	SRR2100764	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014571	SRR2100769	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014573	SRR2100771	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014577	SRR2100773	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014578	SRR1524019	tuberculosis	S	S	S							
MTBC_A1	C00014581	SRR2100775	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014588	SRR2100782	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014601	SRR2100793	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014602	SRR2100794	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014607	SRR2100799	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014615	SRR2100906	tuberculosis	S	S	S							
MTBC_A1	C00014623	SRR2100813	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014624	SRR2100814	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014631	SRR2100819	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014739	SRR2100830	tuberculosis	R	R	R	R	S	S	R	S	R	R
MTBC_A1	C00014740	SRR2100831	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014749	SRR2100838	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A1	C00014759	SRR2100844	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014762	SRR2100846	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014763	SRR2100847	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014779	SRR2100862	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014785	SRR2100867	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014786	SRR2100868	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014788	SRR2100870	tuberculosis	R	R	R	 	 	 	 	 	 	 
MTBC_A1	C00014791	SRR2100872	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014794	SRR2100875	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014798	SRR2100879	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014800	SRR2100881	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014805	SRR2100886	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014808	SRR2100889	tuberculosis	R	R	R	R	R	R	 	S	S	S
MTBC_A1	C00014811	SRR2100892	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014813	SRR2100893	tuberculosis	S	S	S	S	 	S	 	R	R	R
MTBC_A1	C00014819	SRR2100897	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014821	SRR2100899	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014845	SRR2100910	tuberculosis	S	B	S	 	 	 	 	S	 	 
MTBC_A1	C00014850	SRR2100915	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00014861	SRR2100926	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014863	SRR2100928	tuberculosis	S	S	S	 	 	 	 	 	 	 
