comid	country
4814-12	Germany
4825-07	Germany
4833-12	Germany
4842-09	Germany
4851-12	Germany
4856-08	Germany
4858-08	Germany
4859-08	Germany
4863-08	Germany
4871-11	Germany
4872-11	Germany
4890-09	Germany
4898-12	Germany
4903-07	Germany
4904-07	Germany
4911-10	Germany
4932-05	Germany
4949-06	Germany
4951-06	Germany
4986-11	Germany
4989-09	Germany
4995-12	Germany
4997-12	Germany
5016-05	Germany
5017-10	Germany
5028-08	Germany
503-09	Germany
5052-11	Germany
5054-08	Germany
5055-05	Germany
5064-05	Germany
5065-05	Germany
5072-05	Germany
5073-05	Germany
5078-08	Germany
5141-06	Germany
5178-12	Germany
52-05	Germany
5217-09	Germany
5218-09	Germany
5233-09	Germany
5247-12	Germany
5248-04	Sierra Leone
5249-07	Germany
5250-12	Germany
5252-12	Germany
5253-04	Sierra Leone
5276-11	Germany
5277-08	Germany
5281-08	Germany
5291-06	Germany
5310-05	Germany
5310-11	Germany
5311-05	Germany
5313-05	Germany
5318-09	Germany
5325-09	Germany
5331-05	Germany
5332-05	Germany
5357-07	Germany
538-10	Germany
5381-12	Germany
539-10	Germany
5396-06	Germany
54-02	Uzbekistan
5414-12	Germany
5426-09	Germany
5468-03	Sierra Leone
5472-03	Sierra Leone
5489-06	Germany
5494-07	Germany
5496-11	Germany
5514-05	Germany
5530-11	Germany
5536-05	Germany
5568-12	Germany
5573-01	Uzbekistan
5574-01	Uzbekistan
5599-07	Germany
5602-05	Germany
5603-05	Germany
5607-06	Germany
5608-06	Germany
5608-12	Germany
5620-06	Germany
564-08	Germany
5647-09	Germany
5661-08	Germany
5685-04	Sierra Leone
5687-04	Sierra Leone
5696-05	Uzbekistan
5713-06	Germany
5720-09	Germany
5741-08	Germany
5746-05	Germany
5751-05	Germany
5768-06	Germany
5806-05	Germany
5812-10	Germany
5828-05	Germany
5829-05	Germany
5865-11	Germany
5870-03	Sierra Leone
5872-03	Sierra Leone
5888-06	Germany
5917-06	Germany
5918-09	Germany
5927-06	Germany
593-06	Germany
596-09	Germany
5976-05	Germany
5977-05	Germany
5978-05	Germany
5982-12	Germany
5984-05	Germany
6010-12	Germany
6028-10	Germany
6029-10	Germany
6055-10	Germany
6060-11	Germany
6085-06	Germany
6103-11	Germany
6128-11	Germany
6140-05	Germany
6170-08	Germany
62-10	Germany
6213-09	Germany
6213-12	Germany
6225-11	Germany
6232-04	Uzbekistan
6236-04	Uzbekistan
6243-06	Germany
6243-12	Germany
6244-06	Germany
6249-11	Germany
6273-09	Germany
6282-06	Germany
629-09	Germany
629-12	Germany
6321-01	Uzbekistan
6323-01	Uzbekistan
6335-05	Uzbekistan
6337-05	Uzbekistan
6339-05	Uzbekistan
6355-05	Germany
6356-05	Germany
636-06	Germany
6372-05	Germany
6385-11	Germany
640-11	Germany
6424-10	Germany
6429-03	Sierra Leone
6435-03	Sierra Leone
6440-05	Germany
6451-10	Germany
6456-07	Germany
6458-10	Germany
646-10	Germany
6463-04	Sierra Leone
6483-11	Germany
6509-10	Germany
6511-08	Germany
6516-01	Uzbekistan
6519-01	Uzbekistan
6545-12	Germany
6550-09	Germany
6557-11	Germany
6570-05	Germany
6577-07	Germany
6578-10	Germany
6581-05	Uzbekistan
6581-06	Germany
6586-05	Uzbekistan
659-08	Germany
6597-12	Germany
6629-07	Germany
6637-04	Sierra Leone
6639-04	Sierra Leone
6640-04	Sierra Leone
6656-07	Germany
6663-11	Germany
6667-07	Germany
6668-07	Germany
6688-04	Uzbekistan
6689-04	Uzbekistan
6689-07	Germany
6690-04	Uzbekistan
6691-04	Uzbekistan
6693-04	Uzbekistan
6694-04	Uzbekistan
6695-04	Uzbekistan
6699-07	Germany
6708-09	Germany
673-04	Uzbekistan
674-04	Uzbekistan
6753-07	Germany
6754-06	Germany
6755-05	Germany
676-04	Uzbekistan
6769-04	Sierra Leone
677-04	Uzbekistan
6775-04	Sierra Leone
678-04	Uzbekistan
679-04	Uzbekistan
6790-05	Germany
6790-09	Germany
6791-05	Germany
6791-09	Germany
6792-05	Germany
6792-09	Germany
6792-11	Germany
6793-09	Germany
6795-11	Germany
6810-06	Germany
6810-08	Germany
6811-05	Germany
683-05	Uzbekistan
684-06	Uzbekistan
6844-06	Germany
685-05	Uzbekistan
687-05	Uzbekistan
687-06	Uzbekistan
688-05	Uzbekistan
688-06	Uzbekistan
6892-04	Sierra Leone
6894-10	Germany
6894-12	Germany
6897-04	Sierra Leone
690-05	Uzbekistan
6900-07	Germany
691-05	Uzbekistan
692-05	Uzbekistan
6922-05	Germany
6929-11	Germany
693-06	Uzbekistan
6942-07	Germany
695-06	Uzbekistan
695-12	Germany
6952-05	Germany
6956-11	Germany
696-05	Uzbekistan
6967-09	Germany
6975-01	Uzbekistan
6977-01	Uzbekistan
698-05	Uzbekistan
6981-01	Uzbekistan
700-10	Germany
7000-03	Sierra Leone
701-05	Uzbekistan
702-05	Uzbekistan
702-06	Uzbekistan
7035-08	Germany
7036-08	Germany
7037-08	Germany
7038-08	Germany
704-05	Uzbekistan
7043-06	Germany
7043-08	Germany
7045-06	Germany
7056-06	Germany
706-05	Uzbekistan
7068-05	Germany
7093-09	Germany
7093-11	Germany
71-09	Germany
7106-08	Germany
711-05	Uzbekistan
7113-11	Germany
712-05	Uzbekistan
7126-08	Germany
713-05	Uzbekistan
7132-05	Germany
7135-04	Sierra Leone
7137-01	Uzbekistan
714-05	Uzbekistan
715-10	Germany
718-10	Germany
7194-05	Germany
7195-05	Germany
7204-12	Germany
7205-12	Germany
7206-12	Germany
7207-12	Germany
724-11	Germany
7258-06	Germany
7297-05	Germany
7301-08	Germany
733-10	Germany
7333-07	Germany
7334-07	Germany
7342-12	Germany
7349-05	Uzbekistan
735-10	Germany
7350-09	Germany
7369-06	Germany
7376-09	Germany
7387-09	Germany
7417-12	Germany
7426-01	Uzbekistan
7438-11	Germany
7440-08	Germany
7440-11	Germany
7445-09	Germany
7467-01	Uzbekistan
7468-01	Uzbekistan
7507-05	Germany
7516-04	Sierra Leone
7517-04	Sierra Leone
7538-03	Sierra Leone
7542-12	Germany
7570-05	Germany
7573-10	Germany
7586-11	Germany
7594-10	Germany
7595-10	Germany
760-06	Germany
7624-05	Germany
763-08	Germany
7660-06	Germany
7661-06	Germany
7695-01	Uzbekistan
7698-01	Uzbekistan
770-10	Germany
7701-08	Germany
7768-06	Germany
7769-06	Germany
7803-05	Germany
7816-09	Germany
7820-05	Germany
7826-10	Germany
7828-07	Germany
7834-10	Germany
784-02	Uzbekistan
7898-09	Germany
791-05	Germany
7942-05	Uzbekistan
7949-05	Uzbekistan
795-02	Uzbekistan
7950-05	Uzbekistan
7950-10	Germany
7952-05	Uzbekistan
7952-07	Germany
7953-05	Uzbekistan
7954-05	Uzbekistan
7956-11	Germany
7963-11	Germany
7969-07	Germany
7992-08	Germany
8023-12	Germany
8035-06	Germany
8038-07	Germany
8039-07	Germany
8053-05	Germany
8071-05	Germany
8082-03	Sierra Leone
8088-01	Uzbekistan
8088-07	Germany
8092-01	Uzbekistan
8096-05	Germany
8116-09	Germany
8117-09	Germany
8119-04	Uzbekistan
8121-04	Uzbekistan
8122-04	Uzbekistan
8123-04	Uzbekistan
8124-04	Uzbekistan
8125-04	Uzbekistan
8127-04	Uzbekistan
8128-04	Uzbekistan
8129-04	Uzbekistan
8130-04	Uzbekistan
8131-04	Uzbekistan
8132-04	Uzbekistan
8133-04	Uzbekistan
8143-05	Germany
8160-09	Germany
8182-10	Germany
8195-08	Germany
8196-08	Germany
8199-08	Germany
