"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00016854	SRR2101093	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016855	SRR2101094	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016852	SRR2101091	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012975	SRR2100566	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016923	SRR2101162	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016926	SRR2101165	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016927	SRR2101166	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016925	SRR2101164	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003833	ERR040102	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003830	ERR040099	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003831	ERR040100	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016911	SRR2101150	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016910	SRR2101149	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013154	SRR2100736	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013155	SRR2100737	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013150	SRR2100732	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013151	SRR2100733	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003801	ERR039331	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016918	SRR2101157	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013087	SRR2100670	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013084	SRR2100668	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013085	SRR2100669	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013082	SRR2100666	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013083	SRR2100667	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013088	SRR2100671	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013089	SRR2100672	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014540	SRR2100741	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013115	SRR2100698	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008936	SRR2100386	tuberculosis	S	R	S	 	 	 	 	R	 	 
MTBC_A2	C00008933	SRR2100384	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008930	SRR2100381	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00012990	SRR2100578	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012904	SRR2100500	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005409	ERR046874	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012939	SRR2100530	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008731	SRR2100196	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008732	SRR2100197	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005401	ERR046866	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005400	ERR046865	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012937	SRR2100528	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005402	ERR046867	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008738	SRR2100203	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005404	ERR046869	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00005407	ERR046872	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00014843	SRR2100908	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014841	SRR2469373	tuberculosis	R	S	R	S	S	S	R	R	R	R
MTBC_A2	C00014840	SRR2100906	tuberculosis	R	R	S	 	 	 	 	 	 	 
MTBC_A2	C00014847	SRR2100912	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A2	C00014844	SRR2100909	tuberculosis	R	R	R	S	S	S	R	 	S	S
MTBC_A2	C00014849	SRR2100914	tuberculosis	R	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014848	SRR2100913	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015008	SRR2101044	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005287	ERR046752	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005286	ERR046751	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005535	ERR047000	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015003	SRR2101040	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00000583	ERR025848	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00000582	ERR025847	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008847	SRR2100302	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008844	SRR2100299	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008842	SRR2100297	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008843	SRR2100298	tuberculosis	S	S	S	 	 	 	 	 	 	 
